enc,objective,ssl_mode,is_stopgrad,is_ema,architecture_exact,architecture,family,patch_size,n_parameters,z_dim,z_layer,epochs,batch_size,optimizer,learning_rate,weight_decay,scheduler,pretraining_data,img_size,is_aug_invariant,year,is_official,is_industry,n_classes,pred_dim,projection_hid_width,projection_hid_depth,projection1_arch,projection2_arch,projection_same,projection_nparameters,n_negatives,finetuning_data,other,nviews,n_augmentations,is_aug_autoaug,is_aug_blur,is_aug_color,is_aug_crop,is_aug_erasing,is_aug_flip,is_aug_gray,is_aug_jigsaw,is_aug_masking,is_aug_normalize,is_aug_photometric,is_aug_rotate,is_aug_solarize,is_aug_anygeometric,is_aug_anycolor
mocov3_rn50_ep100,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,0.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2021,1,1,,256.0,4096.0,5.0,mlp,mlp,1.0,30000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov3_rn50_ep1000,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,1000.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2021,1,1,,256.0,4096.0,5.0,mlp,mlp,1.0,30000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov3_rn50_ep300,moco,contrastive,1,1,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,2048,lars,0.1,1e-06,cosine,ImageNet-1K,128,1,2021,1,1,,256.0,4096.0,5.0,mlp,mlp,1.0,30000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov3_vitb_ep300,moco,contrastive,1,1,vitb16 cls,vitb,vit,16,90000000.0,512,cls,400.0,2048,adamw,0.0001,0.1,cosine,ImageNet-1K,128,1,2021,1,1,,256.0,4096.0,5.0,mlp,mlp,1.0,30000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
mocov3_vits_ep300,moco,contrastive,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,400.0,2048,adamw,0.0001,0.1,cosine,ImageNet-1K,128,1,2021,1,1,,256.0,4096.0,5.0,mlp,mlp,1.0,30000000.0,4096.0,,,2,6,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1
msn_vitb16_ep600,msn,clustering,1,1,vitb16 cls,vitb,vit,16,90000000.0,512,cls,600.0,1024,adamw,0.001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,1000.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1
msn_vitb4_ep300,msn,clustering,1,1,vitb4 cls,vitb,vit,4,90000000.0,512,cls,400.0,1024,adamw,0.001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,1000.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1
msn_vitl16_ep600,msn,clustering,1,1,vitl16 cls,vitl,vit,16,300000000.0,1024,cls,400.0,1024,adamw,0.001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,1000.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1
msn_vitl7_ep200,msn,clustering,1,1,vitl7 cls,vitl,vit,4,300000000.0,1024,cls,200.0,1024,adamw,0.001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,1000.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1
msn_vits16_ep800,msn,clustering,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,800.0,1024,adamw,0.001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,1000.0,256.0,2048.0,3.0,mlp,mlp,1.0,10000000.0,8192.0,,,2,7,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1
